Student,Midterm,Final Exam
1,76,65
2,84,90
3,79,68
4,88,84
5,76,61
6,66,79
7,77,73
8,94,93
9,66,60
10,92,86
11,80,53
12,87,83
13,86,55
14,63,72
15,92,87
16,75,89
17,69,81
18,92,94
19,79,78
20,60,71
21,68,84
22,71,74
23,61,74
24,68,54
25,76,94
26,72,79
27,99,89
28,58,53
29,82,78
30,72,82
31,77,69
32,95,98
33,72,93
34,71,80
35,72,82
36,96,96
37,72,61
38,89,84
39,94,97
40,85,89
41,60,72
42,66,93
43,96,84
44,83,87
45,88,99
46,92,97
47,78,92
48,85,93
49,91,78
50,74,82
51,96,99
52,80,72
53,62,79
54,70,75
55,87,90
56,89,95
